"test_id","test_name","description","expected_result","priority","category"
"TC-001","Super Admin - Show List of all Institutes","Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as admin.
b. Enter password as admin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Institutes section from the main menu.
e. Wait for the Institutes list to load completely.
f. Verify that all entries are displayed with relevant columns (name, status, date, etc.).
g. Scroll through the list to confirm pagination or full data load.
h. Apply an available search or filter and verify the list updates correctly.
i. Remove the filter and confirm all records are shown again.","The complete Institutes list is displayed with all relevant columns and data; filters and search work correctly.","High","Functional"
"TC-002","Super Admin - Institute Configuration Edit","Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as admin.
b. Enter password as admin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Institute Configuration Edit section from the main menu.
e. Select an existing entry from the list.
f. Click the Edit button or pencil icon.
g. Clear a required field and attempt to save; verify validation error is shown.
h. Update the field with valid new data and click Save.
i. Verify a success confirmation message is displayed.
j. Reload the section and confirm the updated value is persisted.","The Institute Configuration Edit entry is successfully updated; changes are saved and reflected correctly after reload.","High","Functional"
"TC-003","Super Admin - Add Institution","Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as admin.
b. Enter password as admin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Institution section from the main menu.
e. Click the Add Institution button.
f. Fill in all required fields with valid data.
g. Leave a required field blank and attempt to submit; verify a validation error appears.
h. Fill in all fields correctly and click Save or Submit.
i. Verify a success confirmation message is displayed.
j. Confirm the new entry appears in the Institution list.","A new Institution entry is successfully created; it appears in the list with correct data and a success message is shown.","High","Functional"
"TC-004","Super Admin - Edit Institution","Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as admin.
b. Enter password as admin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Institution section from the main menu.
e. Select an existing entry from the list.
f. Click the Edit button or pencil icon.
g. Clear a required field and attempt to save; verify validation error is shown.
h. Update the field with valid new data and click Save.
i. Verify a success confirmation message is displayed.
j. Reload the section and confirm the updated value is persisted.","The Institution entry is successfully updated; changes are saved and reflected correctly after reload.","High","Functional"
"TC-005","Super Admin - Delete Institution","Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as admin.
b. Enter password as admin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Institution section from the main menu.
e. Select an existing entry from the list.
f. Click the Delete button or trash icon.
g. Verify a confirmation dialog appears with the item name.
h. Click Cancel and confirm the entry is still present in the list.
i. Click Delete again, then click Confirm in the dialog.
j. Verify the entry is removed from the list.
k. Confirm a success toast or message is shown.","The Institution entry is removed from the list; a success confirmation is shown and the entry cannot be found.","High","Functional"
"TC-006","Super Admin - Manage Role","Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as admin.
b. Enter password as admin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Role section from the main menu.
e. Wait for the Role list to load completely.
f. Verify that all entries are displayed with relevant columns (name, status, date, etc.).
g. Scroll through the list to confirm pagination or full data load.
h. Apply an available search or filter and verify the list updates correctly.
i. Remove the filter and confirm all records are shown again.","The complete Role list is displayed with all relevant columns and data; filters and search work correctly.","High","Functional"
"TC-007","Super Admin - Show list of all hospital admin users","Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as admin.
b. Enter password as admin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the hospital admin users section from the main menu.
e. Wait for the hospital admin users list to load completely.
f. Verify that all entries are displayed with relevant columns (name, status, date, etc.).
g. Scroll through the list to confirm pagination or full data load.
h. Apply an available search or filter and verify the list updates correctly.
i. Remove the filter and confirm all records are shown again.","The complete hospital admin users list is displayed with all relevant columns and data; filters and search work correctly.","High","Functional"
"TC-008","Super Admin - Add hospital admin user","Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as admin.
b. Enter password as admin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the hospital admin user section from the main menu.
e. Click the Add hospital admin user button.
f. Fill in all required fields with valid data.
g. Leave a required field blank and attempt to submit; verify a validation error appears.
h. Fill in all fields correctly and click Save or Submit.
i. Verify a success confirmation message is displayed.
j. Confirm the new entry appears in the hospital admin user list.","A new hospital admin user entry is successfully created; it appears in the list with correct data and a success message is shown.","High","Functional"
"TC-009","Super Admin - Edit hospital admin user","Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as admin.
b. Enter password as admin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the hospital admin user section from the main menu.
e. Select an existing entry from the list.
f. Click the Edit button or pencil icon.
g. Clear a required field and attempt to save; verify validation error is shown.
h. Update the field with valid new data and click Save.
i. Verify a success confirmation message is displayed.
j. Reload the section and confirm the updated value is persisted.","The hospital admin user entry is successfully updated; changes are saved and reflected correctly after reload.","High","Functional"
"TC-010","Super Admin - Delete User","Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as admin.
b. Enter password as admin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the User section from the main menu.
e. Select an existing entry from the list.
f. Click the Delete button or trash icon.
g. Verify a confirmation dialog appears with the item name.
h. Click Cancel and confirm the entry is still present in the list.
i. Click Delete again, then click Confirm in the dialog.
j. Verify the entry is removed from the list.
k. Confirm a success toast or message is shown.","The User entry is removed from the list; a success confirmation is shown and the entry cannot be found.","High","Functional"
