test_id,test_name,description,expected_result,priority,category
TC-001,Super Admin - Show List of All Institutes,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Institutes section from the main menu.
e. Wait for the institute list to load.
f. Verify that all institutes are listed with names, IDs, and relevant details.","Super Admin is successfully authenticated and the complete list of all institutes is displayed with correct institute details and no errors.",High,Smoke Test
TC-002,Super Admin - Institute Configuration Edit,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Institutes section from the main menu.
e. Select an existing institute from the list.
f. Click the Edit Configuration button or icon.
g. Modify one or more configuration fields (e.g., name, address, or settings).
h. Click Save or Update.
i. Verify a success confirmation message appears.
j. Reload the institute configuration and confirm the updated values are persisted.","Super Admin is able to open and edit institute configuration settings; changes are saved and correctly reflected upon reload.",High,Functional
TC-003,Super Admin - Add Institution,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Institutes section.
e. Click the Add Institution button.
f. Fill in all required fields such as name, address, and contact details.
g. Click Save or Submit.
h. Verify the new institution appears in the institute list.","Super Admin can successfully add a new institution; the institution is saved and visible in the list.",High,Functional
TC-004,Super Admin - Edit Institution,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Institutes section.
e. Select an existing institution from the list.
f. Click the Edit button or icon for that institution.
g. Modify a field such as the institution name or contact number.
h. Click Save.
i. Verify the updated information is reflected in the institute list.","Super Admin can successfully edit an existing institution; all changes are saved and displayed correctly in the list.",High,Functional
TC-005,Super Admin - Delete Institution,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Institutes section.
e. Select an existing institution from the list.
f. Click the Delete button or icon for that institution.
g. Wait for the confirmation dialog to appear and click Confirm or Yes.
h. Verify the institution is removed from the list.
i. Confirm a success message is shown.","Super Admin can delete an institution; the institution no longer appears in the institutes list and a success message is displayed.",High,Functional
TC-006,Super Admin - Manage Role,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to Role Management from the admin menu.
e. View the existing list of roles.
f. Click Add Role and fill in the role name and permissions.
g. Click Save and verify the new role appears in the roles list.
h. Select an existing role and click Edit.
i. Modify permissions and click Save.
j. Verify the updated role reflects the changes.","Super Admin can view, add, and edit roles with appropriate permissions; all changes are saved and the roles list is updated accordingly.",High,Functional
TC-007,Super Admin - Show List of All Hospital Admin Users,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to User Management from the admin menu.
e. Filter or select the Hospital Admin user type from the role filter.
f. Wait for the list to load.
g. Verify all hospital admin users are listed with their names, emails, and statuses.","Super Admin can view the complete list of all hospital admin users with their names, emails, and statuses displayed correctly and no data is missing.",High,Functional
TC-008,Super Admin - Add Hospital Admin User,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to User Management.
e. Click the Add User button.
f. Select Hospital Admin as the role.
g. Fill in all required fields such as name, email, contact, and institution.
h. Click Save or Submit.
i. Verify the new hospital admin user appears in the user list.","Super Admin can successfully add a new hospital admin user; the user is saved and visible in the user list with correct details.",High,Functional
TC-009,Super Admin - Edit Hospital Admin User,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to User Management.
e. Locate an existing hospital admin user from the list.
f. Click the Edit button or icon for that user.
g. Modify a field such as name or phone number.
h. Click Save.
i. Verify the updated information is reflected in the user list.","Super Admin can edit an existing hospital admin user; all changes are saved and the user list reflects the updated information.",High,Functional
TC-010,Super Admin - Delete User,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to User Management.
e. Select a user to be deleted from the list.
f. Click the Delete button or icon for that user.
g. Wait for the confirmation dialog and click Confirm or Yes.
h. Verify the user is removed from the user list.
i. Confirm a success message is displayed.","Super Admin can delete a user; the user no longer appears in the user list and a success confirmation is shown.",High,Functional
TC-011,Super Admin - List of Services,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Services section from the admin menu.
e. Wait for the services list to load.
f. Verify that all services are displayed with their names, types, and statuses.","Super Admin can view the complete list of services with relevant details such as service name, type, and status displayed correctly.",Medium,Functional
TC-012,Super Admin - Add Service,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Services section.
e. Click the Add Service button.
f. Fill in required fields such as service name, type, and description.
g. Click Save or Submit.
h. Verify the new service appears in the services list.","Super Admin can add a new service; the service is saved and visible in the services list with correct details.",High,Functional
TC-013,Super Admin - Edit Service,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Services section.
e. Select an existing service from the list.
f. Click the Edit button or icon.
g. Modify a field such as service name or description.
h. Click Save.
i. Verify the updated service information is reflected in the list.","Super Admin can edit an existing service; all changes are saved and the services list reflects the updated information.",High,Functional
TC-014,Super Admin - Service Mapping,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Service Mapping section.
e. Select an institution or user to map services to.
f. Assign one or more available services to the selected entity.
g. Click Save or Confirm.
h. Verify the mapping is saved and displayed correctly in the service mapping view.","Super Admin can map services to institutions or users; the mappings are persisted and correctly reflected in the service mapping section.",High,Functional
TC-015,Super Admin - Trash Studies,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Workspace or Studies section.
e. Select one or more studies from the list.
f. Click the Trash or Delete button.
g. Confirm the action in the dialog that appears.
h. Navigate to the Trash section and verify the trashed studies appear there.
i. Confirm the studies are no longer in the active studies list.","Super Admin can move studies to trash; trashed studies are removed from the active list and visible in the Trash section.",High,Functional
TC-016,Super Admin - List Service Calendar,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Service Calendar section from the admin menu.
e. Wait for the calendar list to load.
f. Verify that all service calendar entries are displayed with names, dates, and associated services.","Super Admin can view the complete service calendar list with all scheduling details displayed accurately.",Medium,Functional
TC-017,Super Admin - Add Service Calendar,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Service Calendar section.
e. Click the Add Calendar Entry button.
f. Fill in required fields such as service name, date, time, and recurrence settings.
g. Click Save or Submit.
h. Verify the new calendar entry appears in the service calendar list.","Super Admin can add a new service calendar entry; the entry is saved and visible in the calendar list with correct details.",Medium,Functional
TC-018,Super Admin - Edit Service Calendar,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Service Calendar section.
e. Select an existing calendar entry from the list.
f. Click the Edit button or icon.
g. Modify a field such as date, time, or recurrence.
h. Click Save.
i. Verify the updated entry is reflected in the calendar list.","Super Admin can edit a service calendar entry; all changes are saved and the calendar list reflects the updated information.",Medium,Functional
TC-019,Super Admin - Audit Trails Login Sessions,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to Audit Trails from the admin menu.
e. Click on the Login Sessions sub-section.
f. Wait for the session logs to load.
g. Verify the list shows user names, timestamps, IP addresses, and session statuses.
h. Apply a date or user filter and verify the results update accordingly.","Super Admin can view all login session audit logs with accurate user, timestamp, and IP details; filters work correctly and return relevant results.",High,Security
TC-020,Super Admin - Audit Trails Study Logs,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to Audit Trails from the admin menu.
e. Click on the Study Logs sub-section.
f. Wait for the study logs to load.
g. Verify that study ID, action performed, user, and timestamp are displayed for each log entry.","Super Admin can view all study audit logs with complete and accurate study activity details.",High,Security
