"test_id","test_name","description","expected_result","priority","category"
"TC-001","Super Admin - Show List of all Institutes","Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Institutes section from the main menu.
e. Wait for the list of institutes to load.
f. Verify that the list displays institute names, IDs, and other relevant details.","Super Admin can view the list of all institutes with accurate details displayed.","Medium","Functional"
"TC-002","Super Admin - Edit Institute Configuration","Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Institutes section from the main menu.
e. Select an institute from the list.
f. Click the Edit button for the selected institute.
g. Modify the configuration fields (e.g., name, address, contact details).
h. Click the Save button.
i. Verify that a success message is displayed.
j. Reload the page and confirm the changes persist.","Super Admin can edit institute configurations, and the changes are saved and persist after reload.","High","Functionality Test"
"TC-003","Super Admin - Add/Edit Institution","Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Institutes section from the main menu.
e. Click the Add Institution button.
f. Fill in the required fields (e.g., name, address, contact details).
g. Click the Save button.
h. Verify that a success message is displayed.
i. Confirm the new institution appears in the list.
j. Edit the newly added institution and modify its details.
k. Save the changes and verify they persist after reload.","Super Admin can add a new institution and edit its details successfully, with changes persisting after reload.","High","Functionality Test"
"TC-004","Super Admin - Delete Institution","Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Institutes section from the main menu.
e. Select an existing institution from the list.
f. Click the Delete button or icon for that institution.
g. Wait for the confirmation dialog to appear and click Confirm or Yes.
h. Verify the institution is removed from the list.
i. Confirm a success toast or message is shown.","Super Admin can delete an institution; the institution no longer appears in the institutes list and a success confirmation message is displayed.","High","Functionality Test"
"TC-005","Super Admin - Manage Role","Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Roles section from the admin menu.
e. Select an existing role from the list.
f. Click the Edit button for the selected role.
g. Modify the permissions or details for the role.
h. Click the Save button.
i. Verify that a success message is displayed.
j. Reload the page and confirm the changes persist.","Super Admin can manage roles by editing their details and permissions, and the changes are saved successfully.","High","Functionality Test"
"TC-006","Super Admin - Show List of all Hospital Admin Users","Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Users section from the main menu.
e. Select the Hospital Admin Users tab.
f. Wait for the list of hospital admin users to load.
g. Verify that the list displays user names, roles, and other relevant details.","Super Admin can view the list of all hospital admin users with accurate details displayed.","Medium","Functional"
"TC-007","Super Admin - Add/Edit Hospital Admin User","Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Users section from the main menu.
e. Click the Add User button.
f. Fill in the required fields (e.g., name, email, role, contact details).
g. Click the Save button.
h. Verify that a success message is displayed.
i. Confirm the new user appears in the list.
j. Edit the newly added user and modify their details.
k. Save the changes and verify they persist after reload.","Super Admin can add a new hospital admin user and edit their details successfully, with changes persisting after reload.","High","Functionality Test"
"TC-008","Super Admin - Delete User","Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Users section from the main menu.
e. Select an existing user from the list.
f. Click the Delete button or icon for that user.
g. Wait for the confirmation dialog to appear and click Confirm or Yes.
h. Verify the user is removed from the list.
i. Confirm a success toast or message is shown.","Super Admin can delete a user; the user no longer appears in the users list and a success confirmation message is displayed.","High","Functionality Test"
"TC-009","Super Admin - List of Services","Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Services section from the main menu.
e. Wait for the list of services to load.
f. Verify that the list displays service names, IDs, and other relevant details.","Super Admin can view the list of all services with accurate details displayed.","Medium","Functional"
"TC-010","Super Admin - Add/Edit Service","Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Services section from the main menu.
e. Click the Add Service button.
f. Fill in the required fields (e.g., service name, description, pricing).
g. Click the Save button.
h. Verify that a success message is displayed.
i. Confirm the new service appears in the list.
j. Edit the newly added service and modify its details.
k. Save the changes and verify they persist after reload.","Super Admin can add a new service and edit its details successfully, with changes persisting after reload.","High","Functionality Test"
